id,name,lat,lon,category,source
geoapify:517474ab234eed594059052a6fad2965f43ff00102f901750aab200000000092030743616e7465656e,Canteen,1.2746979500000002,103.70789424651758,catering.restaurant,geoapify
geoapify:51356964a1e7f259405998a85109dd65f43ff00103f901a6cb13190100000092030c3837204a7573742054686169,87 Just Thai,1.274869,103.7953876,catering.restaurant,geoapify
geoapify:5138f00f00c1f2594059f9ad289c216bf43ff00103f9019a68011b01000000920312452d5361726e205468616920436f726e6572,E-Sarn Thai Corner,1.2761551,103.7930298,catering.restaurant,geoapify
geoapify:512d6d82b9a7f2594059b8b976cfb469f43ff00103f90115b4012b0200000092031b4976792773204861696e616e657365204d7574746f6e20536f7570,Ivy's Hainanese Mutton Soup,1.2758072,103.7914871,catering.restaurant,geoapify
geoapify:51528f7e4548f2594059f53df3773379f43ff00103f9016ee390bd0200000092031253545420496e6469616e2043756973696e65,STT Indian Cuisine,1.2795901,103.7856611,catering.restaurant,geoapify
geoapify:51bf2c488e4ff2594059fbd7b4a1f079f43ff00103f901619d40e202000000920305486f6f6861,Hooha,1.2797705,103.7861057,catering.restaurant,geoapify
geoapify:5199c8714c3bf359405916c0d9ad4e49f43ff00103f901ba1b4fea02000000920303415355,ASU,1.2678973,103.8004943,catering.restaurant,geoapify
geoapify:511c47f871ddf2594059e239e93e8e66f43ff00102f90187b2031b0000000092030b456174203320426f776c73,Eat 3 Bowls,1.275038,103.7947659420574,catering.restaurant,geoapify
geoapify:51aa3b4174def25940594873f8c07766f43ff00102f901ea200d3f00000000920314466f6e672053656e67204e617369204c656d616b,Fong Seng Nasi Lemak,1.2750165500000001,103.7948275219957,catering.restaurant,geoapify
geoapify:514845516cdff25940599acce4015f66f43ff00102f901eb200d3f000000009203124d616e68696c4c2052657374617572616e74,ManhilL Restaurant,1.2749929500000001,103.79488666473948,catering.restaurant,geoapify
geoapify:51d2dde4c449f259405916e093764239f43ff00102f90117e953490000000092032050617369722050616e6a616e67205465726d696e616c20352043616e7465656e,Pasir Panjang Terminal 5 Canteen,1.2639794000000002,103.78575250959628,catering.restaurant,geoapify
geoapify:5195ef7442c3f2594059618464d3e96af43ff00103f9015c4850060100000092030933204d6f6e6b657973,3 Monkeys,1.2761019,103.7931677,catering.restaurant,geoapify
geoapify:512429e961e8f259405985460dc2c565f43ff00103f901a5cb131901000000920312506172205368692052657374617572616e74,Par Shi Restaurant,1.2748468,103.7954335,catering.restaurant,geoapify
geoapify:512a4b19dde6f2594059b1109b3fea65f43ff00103f901a7cb13190100000092030d426f6d6261792044696e696e67,Bombay Dining,1.2748816,103.7953408,catering.restaurant,geoapify
geoapify:51de6eee54e5f259405917cf07d61066f43ff00103f901a8cb13190100000092031350617261646973652052657374617572616e74,Paradise Restaurant,1.2749184,103.7952473,catering.restaurant,geoapify
geoapify:518c930c4ae2f2594059917e5c924766f43ff00103f901aacb13190100000092031342616e2048656e672052657374617572616e74,Ban Heng Restaurant,1.2749706,103.7950616,catering.restaurant,geoapify
geoapify:51f0f55a75c2f25940595707fed3f66af43ff00103f9019e68011b010000009203104173686d692052657374617572616e74,Ashmi Restaurant,1.2761143,103.7931188,catering.restaurant,geoapify
geoapify:51cce0deeb5af259405925bca71c7c7cf43ff00103f901beed80410200000092031639392042756f6e61205669737461204b69746368656e,99 Buona Vista Kitchen,1.2803918,103.7867994,catering.restaurant,geoapify
geoapify:519b886d41a5f25940591d18c187a06af43ff00103f901de86e27502000000920305526f6a616b,Rojak,1.276032,103.7913364,catering.restaurant,geoapify
geoapify:51e95f3711a2f2594059b7c1cb39ab6af43ff00103f901e186e2750200000092030c436869636b656e2072696365,Chicken rice,1.2760422,103.7911418,catering.restaurant,geoapify
geoapify:51c4138b29a2f25940590e955599b76af43ff00103f901c6472589020000009203084d656e67204b6565,Meng Kee,1.276054,103.7911476,catering.restaurant,geoapify
geoapify:516c951072e2f559405913170593ba6ef43ff00102f901409b2e1600000000920314457373656e2040205468652050696e6e61636c65,Essen @ The Pinnacle,1.2770334,103.84194614047527,catering.restaurant,geoapify
geoapify:518254e5d6fff5594059466ee673d76df43ff00103f901cdbbe4b60000000092030a47796f7a61204b696e67,Gyoza King,1.2768168,103.8437402,catering.restaurant,geoapify
geoapify:5156e828ac79f45940592a0512d65416f43ff00103f901e30eacb8000000009203046f736961,osia,1.255452,103.8199263,catering.restaurant,geoapify
geoapify:51ead511d1f9f5594059197c03e2037bf43ff00103f9011cadecdf000000009203114a696e6720487561205869616f20436869,Jing Hua Xiao Chi,1.280033,103.8433726,catering.restaurant,geoapify
geoapify:51777bb548fff5594059c1a0aa363274f43ff00103f901d5d419e00000000092030952656420486f6c6963,Red Holic,1.2783682,103.8437063,catering.restaurant,geoapify
geoapify:513059260dfff55940596f0ab64f0b74f43ff00103f901d6d419e00000000092031059616b696e696b7520446f6e2d446f6e,Yakiniku Don-Don,1.2783311,103.8436921,catering.restaurant,geoapify
geoapify:5169f5d55501f6594059f783b0580776f43ff00103f9013cff19e00000000092030c4b6b6f204b6b6f204e617261,Kko Kko Nara,1.2788156,103.8438315,catering.restaurant,geoapify
geoapify:51b2cf08dbf4f55940597b1c6c4a5178f43ff00103f901b5131be00000000092030752687562617262,Rhubarb,1.2793744,103.8430698,catering.restaurant,geoapify
geoapify:519b3347fb44f6594059a88c1c169d71f43ff00103f901d789a5e30000000092030953616c616453746f70,SaladStop,1.2777377,103.8479603,catering.restaurant,geoapify
geoapify:515e8022bb77f4594059ed5aecb86f15f43ff00103f901222535e4000000009203045379756e,Syun,1.2552335,103.8198078,catering.restaurant,geoapify
geoapify:51e1bcee633bf5594059e27a0c832c70f43ff00103f901fd9c29e800000000920313476f6f64204368616e636520506f6870696168,Good Chance Pohpiah,1.2773862,103.8317499,catering.restaurant,geoapify
geoapify:51a3005130e3f55940594044c5948cf2f33ff00103f90115c673090100000092030c536f6c65506f6d6f646f726f,SolePomodoro,1.2467161,103.8419915,catering.restaurant,geoapify
geoapify:513b2d89fd2ff6594059673838ccca7bf43ff00103f9010b10a219010000009203054e6f757269,Nouri,1.2802227,103.8466791,catering.restaurant,geoapify
geoapify:51873f790e9bf459405976f4940ebf36f43ff00103f901a143e61901000000920317546f73732026205475726e20225669766f204369747922,"Toss & Turn ""Vivo City""",1.2633658,103.8219639,catering.restaurant,geoapify
geoapify:5112e1babdfff559405912c526cbe871f43ff00103f90152e5d51a0100000092030a43616b65205370616465,Cake Spade,1.2778099,103.8437342,catering.restaurant,geoapify
geoapify:510bed9c6601f65940590c406eb3ab75f43ff00103f901ad6dd61a0100000092030b54686520476f67694a6970,The GogiJip,1.2787282,103.8438355,catering.restaurant,geoapify
geoapify:5197e5a1a5e1f55940591e0e0de75ef6f33ff00103f901d3275a1b01000000920324477265656e776f6f642046697368204d61726b6574204051756179736964652049736c65,Greenwood Fish Market @Quayside Isle,1.2476491,103.8418974,catering.restaurant,geoapify
geoapify:518e1260fd44f659405915a31935487cf43ff00103f901fa541f750100000092030f4355444f206174205374616e6c6579,CUDO at Stanley,1.2803423,103.8479608,catering.restaurant,geoapify
geoapify:516cc5feb27bf4594059a1fa0d30dc14f43ff00103f901cff17f7e0100000092030a536f6920536f6369616c,Soi Social,1.2550928,103.82005,catering.restaurant,geoapify
geoapify:51e398767bdaf5594059d7c177632af8f33ff00103f901a7b8c4a901000000920310536162696f2062792074686520536561,Sabio by the Sea,1.2480873,103.8414601,catering.restaurant,geoapify
geoapify:51aefebe35e6f5594059ea0d232ae2f4f33ff00103f901a77416aa0100000092030a4d69736b612043616665,Miska Cafe,1.247286,103.8421759,catering.restaurant,geoapify
