id,name,lat,lon,category,source
osm:node:368208482,McDonald's,1.3967854,103.8872571,amenity:fast_food,osm
osm:node:369123937,McDonald's,1.3852937,103.9014609,amenity:fast_food,osm
osm:node:369123954,KFC,1.3852325,103.9014163,amenity:fast_food,osm
osm:node:369125094,McDonald's,1.3920248,103.9048398,amenity:fast_food,osm
osm:node:369126039,KFC,1.3940439,103.9131186,amenity:fast_food,osm
osm:node:369128135,Long John Silver's,1.3722631,103.8939908,amenity:fast_food,osm
osm:node:369548445,McDonald's,1.3740336,103.886987,amenity:fast_food,osm
osm:node:380582666,Suki-ya,1.3594895,103.8854848,amenity:restaurant,osm
osm:node:380582730,Burger King,1.3596999,103.8852389,amenity:fast_food,osm
osm:node:462263947,Jumbo Seafood,1.3051479,103.9306772,amenity:restaurant,osm
osm:node:462264013,Jumbo Seafood,1.2892592,103.8482726,amenity:restaurant,osm
osm:node:512070755,Hooters,1.2899587,103.8458766,amenity:restaurant,osm
osm:node:512084967,Tiong Bahru Bakery,1.3013209,103.8400063,amenity:cafe,osm
osm:node:512086910,Red ahous,1.2999047,103.8499576,amenity:restaurant,osm
osm:node:518302541,Como Cuisine,1.3058557,103.8105878,amenity:restaurant,osm
osm:node:518302572,Jumbo Seafood @ Dempsey,1.3043031,103.8099818,amenity:restaurant,osm
osm:node:518302603,Margarita's,1.3039505,103.8102061,amenity:restaurant,osm
osm:node:518302672,PS cafe,1.3047042,103.8110709,amenity:cafe,osm
osm:node:518302785,PS Cafe,1.3068516,103.8298378,amenity:cafe,osm
osm:node:518303095,Pearl of India,1.3108481,103.8352923,amenity:restaurant,osm
osm:node:602245317,Roia,1.3149885,103.8153732,amenity:restaurant,osm
osm:node:602549224,Liad Fan Hong Kong Soy Sauce Chicken Rice & Noodle,1.2819879,103.8432653,amenity:restaurant,osm
osm:node:602549234,People's Park Food Centre Blk 32,1.284959,103.8425704,amenity:restaurant,osm
osm:node:604357301,Old Beach Road Prawn Mee,1.311986,103.922546,amenity:restaurant,osm
osm:node:610732194,Burger King,1.3021723,103.8527679,amenity:fast_food,osm
osm:node:610732258,McDonald's,1.301261,103.8550421,amenity:fast_food,osm
osm:node:610732291,Mixue,1.3003144,103.8552471,amenity:cafe,osm
osm:node:615151178,Terror Club,1.4588211,103.8292889,amenity:restaurant,osm
osm:node:617987730,Grill & Pasta,1.3722892,103.8290509,amenity:cafe,osm
osm:node:653134902,Thasevi Food Jalan Kayu Prata,1.3961946,103.8728672,amenity:restaurant,osm
osm:node:671205205,McDonald's,1.3040423,103.8021608,amenity:fast_food,osm
osm:node:673992555,Empress Road Food Centre,1.3161183,103.8054965,amenity:restaurant,osm
osm:node:673992964,McDonald's,1.3223758,103.8136207,amenity:fast_food,osm
osm:node:679648814,The Cheese Prata Shop,1.2928553,103.7685707,amenity:restaurant,osm
osm:node:679648984,McDonald's,1.2975686,103.7633424,amenity:fast_food,osm
osm:node:687602963,The Tea Party,1.2994266,103.7752657,amenity:cafe,osm
osm:node:687602970,The Terrace,1.2945229,103.7744754,amenity:restaurant,osm
osm:node:694130820,Coffee Express,1.3695931,103.9572551,amenity:cafe,osm
osm:node:694833627,KPT,1.3703592,103.9581207,amenity:cafe,osm
osm:node:775915333,MOF,1.4420102,103.8250086,amenity:restaurant,osm
osm:node:775915340,Starbucks,1.4479064,103.8194535,amenity:cafe,osm
osm:node:775915341,Sushi Express,1.4478747,103.819345,amenity:restaurant,osm
osm:node:775915342,Ajisen Ramen,1.4419163,103.8251964,amenity:fast_food,osm
osm:node:775915349,Chick A Boo,1.4418864,103.8245461,amenity:restaurant,osm
osm:node:775915351,Aston's,1.4418638,103.8247615,amenity:restaurant,osm
osm:node:775915352,McDonald's,1.4483884,103.8198881,amenity:fast_food,osm
osm:node:775915361,KFC,1.4478449,103.8192274,amenity:fast_food,osm
osm:node:783666675,Bistro Lab,1.3438352,103.9318335,amenity:cafe,osm
osm:node:783666679,Design Pad,1.3449077,103.9314365,amenity:restaurant,osm
osm:node:905099786,Makan Place,1.3319637,103.7745599,amenity:restaurant,osm
osm:node:911553978,Canteen 4,1.3327038,103.7712425,amenity:restaurant,osm
osm:node:938233423,La Villa,1.2956087,103.8335603,amenity:restaurant,osm
