poi_id,name,has_match,name_similarity,distance_m,category_match,review_rating,review_count,review_recency_days,review_sentiment_score,is_external_only,label
osm:osm:node:368208482,McDonald's,0.0,0.0,0.0,0.0,1.5,16.0,23.0,-1.0,0.0,CLOSED
osm:osm:node:369123937,McDonald's,0.0,0.0,0.0,0.0,4.0,39.0,1.0,1.0,0.0,CLOSED
osm:osm:node:369123954,KFC,0.0,0.0,0.0,0.0,2.6,35.0,6.0,0.0,0.0,CLOSED
osm:osm:node:369125094,McDonald's,0.0,0.0,0.0,0.0,3.9,27.0,8.0,0.0,0.0,CLOSED
osm:osm:node:369126039,KFC,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
osm:osm:node:369128135,Long John Silver's,0.0,0.0,0.0,0.0,4.1,59.0,4.0,1.0,0.0,CLOSED
osm:osm:node:369548445,McDonald's,0.0,0.0,0.0,0.0,4.0,5.0,11.0,1.0,0.0,CLOSED
osm:osm:node:380582666,Suki-ya,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
osm:osm:node:380582730,Burger King,0.0,0.0,0.0,0.0,4.1,65.0,29.0,1.0,0.0,CLOSED
osm:osm:node:462263947,Jumbo Seafood,0.0,0.0,0.0,0.0,3.6,88.0,27.0,0.0,0.0,CLOSED
osm:osm:node:462264013,Jumbo Seafood,0.0,0.0,0.0,0.0,2.5,3.0,24.0,0.0,0.0,CLOSED
osm:osm:node:512070755,Hooters,0.0,0.0,0.0,0.0,2.0,13.0,8.0,-1.0,0.0,CLOSED
osm:osm:node:512084967,Tiong Bahru Bakery,1.0,1.0,0.0,1.0,4.2,8.0,21.0,1.0,0.0,MODIFIED
osm:osm:node:512086910,Red ahous,0.0,0.0,0.0,0.0,4.5,52.0,5.0,1.0,0.0,CLOSED
osm:osm:node:518302541,Como Cuisine,0.0,0.0,0.0,0.0,2.7,31.0,29.0,0.0,0.0,CLOSED
osm:osm:node:518302572,Jumbo Seafood @ Dempsey,0.0,0.0,0.0,0.0,3.6,57.0,59.0,0.0,0.0,CLOSED
osm:osm:node:518302603,Margarita's,0.0,0.0,0.0,0.0,1.6,18.0,6.0,-1.0,0.0,CLOSED
osm:osm:node:518302672,PS cafe,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
osm:osm:node:518302785,PS Cafe,1.0,1.0,0.0,1.0,3.9,11.0,28.0,0.0,0.0,MODIFIED
osm:osm:node:518303095,Pearl of India,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
osm:osm:node:602245317,Roia,0.0,0.0,0.0,0.0,2.8,14.0,8.0,0.0,0.0,CLOSED
osm:osm:node:602549224,Liad Fan Hong Kong Soy Sauce Chicken Rice & Noodle,1.0,1.0,0.0,1.0,3.3,43.0,4.0,0.0,0.0,MODIFIED
osm:osm:node:602549234,People's Park Food Centre Blk 32,0.0,0.0,0.0,0.0,2.0,2.0,20.0,-1.0,0.0,CLOSED
osm:osm:node:604357301,Old Beach Road Prawn Mee,0.0,0.0,0.0,0.0,3.9,45.0,19.0,0.0,0.0,CLOSED
osm:osm:node:610732194,Burger King,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
osm:osm:node:610732258,McDonald's,0.0,0.0,0.0,0.0,4.7,98.0,23.0,1.0,0.0,CLOSED
osm:osm:node:610732291,Mixue,0.0,0.0,0.0,0.0,4.3,69.0,205.0,1.0,0.0,CLOSED
osm:osm:node:615151178,Terror Club,1.0,1.0,0.0,1.0,3.3,30.0,165.0,0.0,0.0,MODIFIED
osm:osm:node:617987730,Grill & Pasta,1.0,1.0,0.0,1.0,0.0,0.0,999.0,0.0,0.0,MODIFIED
osm:osm:node:653134902,Thasevi Food Jalan Kayu Prata,0.0,0.0,0.0,0.0,3.5,5.0,26.0,0.0,0.0,CLOSED
osm:osm:node:671205205,McDonald's,0.0,0.0,0.0,0.0,3.7,8.0,307.0,0.0,0.0,CLOSED
osm:osm:node:673992555,Empress Road Food Centre,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
osm:osm:node:673992964,McDonald's,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
osm:osm:node:679648814,The Cheese Prata Shop,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
osm:osm:node:679648984,McDonald's,0.0,0.0,0.0,0.0,3.4,5.0,26.0,0.0,0.0,CLOSED
osm:osm:node:687602963,The Tea Party,1.0,1.0,0.0,1.0,0.0,0.0,999.0,0.0,0.0,MODIFIED
osm:osm:node:687602970,The Terrace,0.0,0.0,0.0,0.0,2.7,41.0,23.0,0.0,0.0,CLOSED
osm:osm:node:694130820,Coffee Express,1.0,1.0,0.0,1.0,1.9,71.0,96.0,-1.0,0.0,MODIFIED
osm:osm:node:694833627,KPT,1.0,1.0,0.0,1.0,4.5,9.0,19.0,1.0,0.0,MODIFIED
osm:osm:node:775915333,MOF,1.0,1.0,0.0,1.0,2.6,38.0,133.0,0.0,0.0,MODIFIED
osm:osm:node:775915340,Starbucks,1.0,1.0,0.0,1.0,3.2,55.0,28.0,0.0,0.0,MODIFIED
osm:osm:node:775915341,Sushi Express,1.0,1.0,0.0,1.0,2.2,12.0,18.0,-1.0,0.0,MODIFIED
osm:osm:node:775915342,Ajisen Ramen,0.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0,CLOSED
osm:osm:node:775915349,Chick A Boo,1.0,1.0,0.0,1.0,2.7,117.0,67.0,0.0,0.0,MODIFIED
osm:osm:node:775915351,Aston's,1.0,1.0,0.0,1.0,2.8,33.0,23.0,0.0,0.0,MODIFIED
osm:osm:node:775915352,McDonald's,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,CLOSED
